,loss,f1_metric,accuracy,val_loss,val_f1_metric,val_accuracy
0,1.1419954299926758,0.6380507349967957,0.6409266591072083,0.7457641959190369,0.759752094745636,0.7497103214263916
1,0.815369725227356,0.7194232940673828,0.7185328006744385,0.6497172117233276,0.7554337978363037,0.7555040717124939
2,0.748777449131012,0.736931324005127,0.7362934350967407,0.5567599534988403,0.7868341207504272,0.7891077399253845
3,0.6702641844749451,0.751548707485199,0.7575289607048035,0.6562768816947937,0.7788599133491516,0.7775202989578247
4,0.6765295267105103,0.7456144690513611,0.7525096535682678,0.5665575861930847,0.7821861505508423,0.7891077399253845
5,0.6142347455024719,0.7678393721580505,0.7691119909286499,0.6082531213760376,0.7869383096694946,0.7891077399253845
6,0.6021729111671448,0.776300311088562,0.7737451791763306,0.5492311716079712,0.7969253659248352,0.8111239671707153
7,0.5976443290710449,0.7758381366729736,0.7787644863128662,0.5322942137718201,0.8061872124671936,0.8076477646827698
8,0.5698308944702148,0.7851836681365967,0.7872586846351624,0.5335513949394226,0.8059564232826233,0.8041715025901794
9,0.5874696373939514,0.7810018658638,0.7888031005859375,0.5733895301818848,0.7942628264427185,0.7995365262031555
10,0.5744377970695496,0.7878151535987854,0.7911196947097778,0.557962954044342,0.8043994903564453,0.8018540143966675
11,0.5563587546348572,0.7946183085441589,0.7972972989082336,0.5405076742172241,0.8105628490447998,0.8076477646827698
12,0.5301544070243835,0.7988960146903992,0.8003860712051392,0.544969379901886,0.8196744918823242,0.8146002292633057
13,0.5186883807182312,0.8090128302574158,0.8081080913543701,0.5574343800544739,0.7975361347198486,0.8041715025901794
14,0.5471252202987671,0.7955056428909302,0.7961390018463135,0.5447404980659485,0.809501051902771,0.8146002292633057
15,0.5328440070152283,0.8050835132598877,0.8003860712051392,0.5418169498443604,0.8098388314247131,0.8169177174568176
16,0.5273844003677368,0.8074182868003845,0.8077220320701599,0.5541586875915527,0.7941663861274719,0.8018540143966675
17,0.5181641578674316,0.8129964470863342,0.8092663884162903,0.5967994332313538,0.7970561385154724,0.7925840020179749
